Funzione,Periodo,Durata (s),Energia Totale (J),Potenza Media (W),Deviazione Standard,Run Validate
Funz_AggiungiFilm,After,7.176909090909092,44.18922146883886,6.1304306093084815,1.2401620298132847,11
Funz_AggiungiFilm,Before,9.497300000000001,37.62525482177735,3.961278729592629,0.7058068809901467,10
Funz_AggiungiRecensione,After,8.908545454545456,54.39518876509266,6.075654468182099,1.2925636838723227,11
Funz_AggiungiRecensione,Before,8.916,36.91673126220685,4.140870270413002,0.7234641425821473,10
Funz_EliminaRecensione,After,8.894,59.17897449840199,6.603695692726302,2.115692861814541,11
Funz_EliminaRecensione,Before,8.6141,35.26606903076136,4.093992104627398,0.8873699930458256,10
Funz_Login,After,8.198272727272727,50.97837413441051,6.177146337351042,1.2707306727497478,11
Funz_Login,Before,9.4775,37.39227905273492,3.945077253577338,0.7247424348549301,10
Funz_MettiLike,After,8.253090909090908,51.07301330566406,6.170739515100911,2.0222842156502825,11
Funz_MettiLike,Before,9.5166,37.83101043701172,3.9756106848872506,0.9431470542184381,10
Funz_Registrazione,After,8.423363636363634,49.527062155983664,5.866264322118709,1.15513958280339,11
Funz_Registrazione,Before,8.8959,37.180474853515626,4.1769476437541915,0.797635054288292,10
Funz_RicercaFilm,After,7.8877272727272745,43.95516829057099,5.568693439609391,1.8974938531088024,11
Funz_RicercaFilm,Before,9.2596,36.89991912841761,3.987397937462333,0.7504626150309831,10
Funz_RimuoviFilm,After,8.90990909090909,56.980052601207966,6.330652841583416,1.6113102595533375,11
Funz_RimuoviFilm,Before,8.6946,36.597283935546876,4.208702632253016,0.9118547003771649,10
Funz_VisualizzaCatalogo,After,7.3261818181818175,48.83142367276278,6.646527041477738,1.1965570436416613,11
Funz_VisualizzaCatalogo,Before,9.498099999999999,38.29820098876953,4.031037023303599,0.6767781248547167,10
