# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PasswordUtilityBenchmark.testHashPassword
# Parameters: (passwordToTest = 123456)

# Run progress: 0,00% complete, ETA 00:03:40
# Fork: 1 of 2
# Warmup Iteration   1: 0,554 us/op
# Warmup Iteration   2: 0,435 us/op
# Warmup Iteration   3: 0,439 us/op
# Warmup Iteration   4: 0,434 us/op
# Warmup Iteration   5: 0,438 us/op
# Warmup Iteration   6: 0,433 us/op
# Warmup Iteration   7: 0,434 us/op
# Warmup Iteration   8: 0,434 us/op
# Warmup Iteration   9: 0,433 us/op
# Warmup Iteration  10: 0,431 us/op
# Warmup Iteration  11: 0,434 us/op
# Warmup Iteration  12: 0,432 us/op
# Warmup Iteration  13: 0,436 us/op
# Warmup Iteration  14: 0,433 us/op
# Warmup Iteration  15: 0,434 us/op
Iteration   1: 0,433 us/op
Iteration   2: 0,432 us/op
Iteration   3: 0,431 us/op
Iteration   4: 0,432 us/op
Iteration   5: 0,430 us/op
Iteration   6: 0,432 us/op
Iteration   7: 0,431 us/op
Iteration   8: 0,434 us/op
Iteration   9: 0,430 us/op
Iteration  10: 0,433 us/op
Iteration  11: 0,431 us/op
Iteration  12: 0,430 us/op
Iteration  13: 0,433 us/op
Iteration  14: 0,430 us/op
Iteration  15: 0,443 us/op
Iteration  16: 0,455 us/op
Iteration  17: 0,433 us/op
Iteration  18: 0,438 us/op
Iteration  19: 0,433 us/op
Iteration  20: 0,435 us/op
Iteration  21: 0,433 us/op
Iteration  22: 0,432 us/op
Iteration  23: 0,434 us/op
Iteration  24: 0,431 us/op
Iteration  25: 0,432 us/op
Iteration  26: 0,430 us/op
Iteration  27: 0,432 us/op
Iteration  28: 0,432 us/op
Iteration  29: 0,434 us/op
Iteration  30: 0,432 us/op
Iteration  31: 0,433 us/op
Iteration  32: 0,432 us/op
Iteration  33: 0,433 us/op
Iteration  34: 0,431 us/op
Iteration  35: 0,432 us/op
Iteration  36: 0,432 us/op
Iteration  37: 0,431 us/op
Iteration  38: 0,431 us/op
Iteration  39: 0,435 us/op
Iteration  40: 0,432 us/op

# Run progress: 25,00% complete, ETA 00:02:48
# Fork: 2 of 2
# Warmup Iteration   1: 0,518 us/op
# Warmup Iteration   2: 0,392 us/op
# Warmup Iteration   3: 0,397 us/op
# Warmup Iteration   4: 0,398 us/op
# Warmup Iteration   5: 0,398 us/op
# Warmup Iteration   6: 0,397 us/op
# Warmup Iteration   7: 0,395 us/op
# Warmup Iteration   8: 0,400 us/op
# Warmup Iteration   9: 0,398 us/op
# Warmup Iteration  10: 0,388 us/op
# Warmup Iteration  11: 0,389 us/op
# Warmup Iteration  12: 0,388 us/op
# Warmup Iteration  13: 0,414 us/op
# Warmup Iteration  14: 0,395 us/op
# Warmup Iteration  15: 0,398 us/op
Iteration   1: 0,397 us/op
Iteration   2: 0,397 us/op
Iteration   3: 0,399 us/op
Iteration   4: 0,396 us/op
Iteration   5: 0,397 us/op
Iteration   6: 0,396 us/op
Iteration   7: 0,397 us/op
Iteration   8: 0,397 us/op
Iteration   9: 0,396 us/op
Iteration  10: 0,400 us/op
Iteration  11: 0,397 us/op
Iteration  12: 0,396 us/op
Iteration  13: 0,398 us/op
Iteration  14: 0,412 us/op
Iteration  15: 0,396 us/op
Iteration  16: 0,396 us/op
Iteration  17: 0,395 us/op
Iteration  18: 0,397 us/op
Iteration  19: 0,399 us/op
Iteration  20: 0,397 us/op
Iteration  21: 0,398 us/op
Iteration  22: 0,397 us/op
Iteration  23: 0,389 us/op
Iteration  24: 0,398 us/op
Iteration  25: 0,398 us/op
Iteration  26: 0,397 us/op
Iteration  27: 0,397 us/op
Iteration  28: 0,398 us/op
Iteration  29: 0,396 us/op
Iteration  30: 0,396 us/op
Iteration  31: 0,397 us/op
Iteration  32: 0,394 us/op
Iteration  33: 0,388 us/op
Iteration  34: 0,395 us/op
Iteration  35: 0,398 us/op
Iteration  36: 0,396 us/op
Iteration  37: 0,395 us/op
Iteration  38: 0,397 us/op
Iteration  39: 0,396 us/op
Iteration  40: 0,397 us/op


