# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.ProfileServiceBenchmark.testGetUsersMap

# Run progress: 0,00% complete, ETA 00:05:30
# Fork: 1 of 2
# Warmup Iteration   1: 10993 ns/op
# Warmup Iteration   2: 9695 ns/op
# Warmup Iteration   3: 9698 ns/op
# Warmup Iteration   4: 9836 ns/op
# Warmup Iteration   5: 9543 ns/op
# Warmup Iteration   6: 9637 ns/op
# Warmup Iteration   7: 9565 ns/op
# Warmup Iteration   8: 9550 ns/op
# Warmup Iteration   9: 9572 ns/op
# Warmup Iteration  10: 9573 ns/op
# Warmup Iteration  11: 9611 ns/op
# Warmup Iteration  12: 9598 ns/op
# Warmup Iteration  13: 9603 ns/op
# Warmup Iteration  14: 9651 ns/op
# Warmup Iteration  15: 9592 ns/op
Iteration   1: 9546 ns/op
Iteration   2: 9563 ns/op
Iteration   3: 9549 ns/op
Iteration   4: 9545 ns/op
Iteration   5: 9561 ns/op
Iteration   6: 9559 ns/op
Iteration   7: 9574 ns/op
Iteration   8: 9578 ns/op
Iteration   9: 9557 ns/op
Iteration  10: 9606 ns/op
Iteration  11: 9565 ns/op
Iteration  12: 9558 ns/op
Iteration  13: 9608 ns/op
Iteration  14: 9638 ns/op
Iteration  15: 9813 ns/op
Iteration  16: 9595 ns/op
Iteration  17: 9572 ns/op
Iteration  18: 9583 ns/op
Iteration  19: 9560 ns/op
Iteration  20: 9677 ns/op
Iteration  21: 9602 ns/op
Iteration  22: 9576 ns/op
Iteration  23: 9581 ns/op
Iteration  24: 9653 ns/op
Iteration  25: 9569 ns/op
Iteration  26: 9589 ns/op
Iteration  27: 9710 ns/op
Iteration  28: 9552 ns/op
Iteration  29: 9594 ns/op
Iteration  30: 9776 ns/op
Iteration  31: 9644 ns/op
Iteration  32: 9732 ns/op
Iteration  33: 9608 ns/op
Iteration  34: 9664 ns/op
Iteration  35: 9592 ns/op
Iteration  36: 9567 ns/op
Iteration  37: 9704 ns/op
Iteration  38: 9610 ns/op
Iteration  39: 9569 ns/op
Iteration  40: 9615 ns/op

# Run progress: 16,67% complete, ETA 00:04:42
# Fork: 2 of 2
# Warmup Iteration   1: 10237 ns/op
# Warmup Iteration   2: 8951 ns/op
# Warmup Iteration   3: 9326 ns/op
# Warmup Iteration   4: 9330 ns/op
# Warmup Iteration   5: 9283 ns/op
# Warmup Iteration   6: 9268 ns/op
# Warmup Iteration   7: 9282 ns/op
# Warmup Iteration   8: 9255 ns/op
# Warmup Iteration   9: 9316 ns/op
# Warmup Iteration  10: 9300 ns/op
# Warmup Iteration  11: 9267 ns/op
# Warmup Iteration  12: 9271 ns/op
# Warmup Iteration  13: 9250 ns/op
# Warmup Iteration  14: 9241 ns/op
# Warmup Iteration  15: 9236 ns/op
Iteration   1: 9317 ns/op
Iteration   2: 9242 ns/op
Iteration   3: 9270 ns/op
Iteration   4: 9260 ns/op
Iteration   5: 9366 ns/op
Iteration   6: 9471 ns/op
Iteration   7: 9481 ns/op
Iteration   8: 9446 ns/op
Iteration   9: 9488 ns/op
Iteration  10: 9422 ns/op
Iteration  11: 9513 ns/op
Iteration  12: 9681 ns/op
Iteration  13: 9592 ns/op
Iteration  14: 9433 ns/op
Iteration  15: 9471 ns/op
Iteration  16: 9426 ns/op
Iteration  17: 9291 ns/op
Iteration  18: 9504 ns/op
Iteration  19: 9285 ns/op
Iteration  20: 9252 ns/op
Iteration  21: 9315 ns/op
Iteration  22: 9257 ns/op
Iteration  23: 9304 ns/op
Iteration  24: 9331 ns/op
Iteration  25: 9286 ns/op
Iteration  26: 9285 ns/op
Iteration  27: 9266 ns/op
Iteration  28: 9266 ns/op
Iteration  29: 9239 ns/op
Iteration  30: 9245 ns/op
Iteration  31: 9283 ns/op
Iteration  32: 9267 ns/op
Iteration  33: 9271 ns/op
Iteration  34: 9384 ns/op
Iteration  35: 9325 ns/op
Iteration  36: 9294 ns/op
Iteration  37: 9272 ns/op
Iteration  38: 9272 ns/op
Iteration  39: 9570 ns/op
Iteration  40: 9498 ns/op


Result "benchmark.ProfileServiceBenchmark.testGetUsersMap":
  9484,546 ±(99.9%) 59,027 ns/op [Average]
  (min, avg, max) = (9239, 9484, 9813), stdev = 155
  CI (99.9%): [9425, 9544] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.ProfileServiceBenchmark.testPasswordUpdate

# Run progress: 33,33% complete, ETA 00:03:45
# Fork: 1 of 2
# Warmup Iteration   1: 813,402 ns/op
# Warmup Iteration   2: 594,762 ns/op
# Warmup Iteration   3: 495,940 ns/op
# Warmup Iteration   4: 476,451 ns/op
# Warmup Iteration   5: 479,949 ns/op
# Warmup Iteration   6: 483,061 ns/op
# Warmup Iteration   7: 488,374 ns/op
# Warmup Iteration   8: 500,162 ns/op
# Warmup Iteration   9: 483,290 ns/op
# Warmup Iteration  10: 593,340 ns/op
# Warmup Iteration  11: 510,378 ns/op
# Warmup Iteration  12: 499,504 ns/op
# Warmup Iteration  13: 509,111 ns/op
# Warmup Iteration  14: 485,375 ns/op
# Warmup Iteration  15: 486,797 ns/op
Iteration   1: 473,693 ns/op
Iteration   2: 484,740 ns/op
Iteration   3: 496,628 ns/op
Iteration   4: 488,414 ns/op
Iteration   5: 516,520 ns/op
Iteration   6: 506,570 ns/op
Iteration   7: 478,383 ns/op
Iteration   8: 478,749 ns/op
Iteration   9: 605,488 ns/op
Iteration  10: 515,319 ns/op
Iteration  11: 487,688 ns/op
Iteration  12: 494,212 ns/op
Iteration  13: 511,435 ns/op
Iteration  14: 462,932 ns/op
Iteration  15: 465,433 ns/op
Iteration  16: 461,646 ns/op
Iteration  17: 462,604 ns/op
Iteration  18: 463,039 ns/op
Iteration  19: 465,914 ns/op
Iteration  20: 462,422 ns/op
Iteration  21: 468,736 ns/op
Iteration  22: 341,909 ns/op
Iteration  23: 450,535 ns/op
Iteration  24: 462,276 ns/op
Iteration  25: 465,644 ns/op
Iteration  26: 478,390 ns/op
Iteration  27: 464,415 ns/op
Iteration  28: 461,046 ns/op
Iteration  29: 461,200 ns/op
Iteration  30: 463,850 ns/op
Iteration  31: 460,895 ns/op
Iteration  32: 462,092 ns/op
Iteration  33: 461,857 ns/op
Iteration  34: 461,832 ns/op
Iteration  35: 463,224 ns/op
Iteration  36: 462,909 ns/op
Iteration  37: 460,714 ns/op
Iteration  38: 461,471 ns/op
Iteration  39: 464,485 ns/op
Iteration  40: 461,448 ns/op

# Run progress: 50,00% complete, ETA 00:02:49
# Fork: 2 of 2
# Warmup Iteration   1: 566,842 ns/op
# Warmup Iteration   2: 443,649 ns/op
# Warmup Iteration   3: 440,497 ns/op
# Warmup Iteration   4: 435,480 ns/op
# Warmup Iteration   5: 433,039 ns/op
# Warmup Iteration   6: 431,987 ns/op
# Warmup Iteration   7: 433,181 ns/op
# Warmup Iteration   8: 432,851 ns/op
# Warmup Iteration   9: 431,931 ns/op
# Warmup Iteration  10: 430,236 ns/op
# Warmup Iteration  11: 431,084 ns/op
# Warmup Iteration  12: 432,455 ns/op
# Warmup Iteration  13: 431,000 ns/op
# Warmup Iteration  14: 428,468 ns/op
# Warmup Iteration  15: 429,615 ns/op
Iteration   1: 429,542 ns/op
Iteration   2: 431,887 ns/op
Iteration   3: 430,764 ns/op
Iteration   4: 434,445 ns/op
Iteration   5: 430,646 ns/op
Iteration   6: 430,870 ns/op
Iteration   7: 429,453 ns/op
Iteration   8: 431,699 ns/op
Iteration   9: 434,421 ns/op
Iteration  10: 429,823 ns/op
Iteration  11: 430,554 ns/op
Iteration  12: 430,391 ns/op
Iteration  13: 432,151 ns/op
Iteration  14: 429,986 ns/op
Iteration  15: 429,930 ns/op
Iteration  16: 434,065 ns/op
Iteration  17: 430,761 ns/op
Iteration  18: 431,833 ns/op
Iteration  19: 430,554 ns/op
Iteration  20: 429,682 ns/op
Iteration  21: 431,941 ns/op
Iteration  22: 432,511 ns/op
Iteration  23: 429,756 ns/op
Iteration  24: 431,906 ns/op
Iteration  25: 431,339 ns/op
Iteration  26: 432,009 ns/op
Iteration  27: 433,714 ns/op
Iteration  28: 431,596 ns/op
Iteration  29: 430,760 ns/op
Iteration  30: 431,925 ns/op
