# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.AutenticationServiceBenchmark.testLoginSuccess

# Run progress: 0,00% complete, ETA 00:09:10
# Fork: 1 of 2
# Warmup Iteration   1: 1,075 us/op
# Warmup Iteration   2: 0,909 us/op
# Warmup Iteration   3: 0,867 us/op
# Warmup Iteration   4: 0,865 us/op
# Warmup Iteration   5: 0,860 us/op
# Warmup Iteration   6: 0,859 us/op
# Warmup Iteration   7: 0,867 us/op
# Warmup Iteration   8: 0,863 us/op
# Warmup Iteration   9: 0,867 us/op
# Warmup Iteration  10: 0,872 us/op
# Warmup Iteration  11: 0,864 us/op
# Warmup Iteration  12: 0,863 us/op
# Warmup Iteration  13: 0,861 us/op
# Warmup Iteration  14: 0,869 us/op
# Warmup Iteration  15: 0,871 us/op
Iteration   1: 0,861 us/op
Iteration   2: 0,861 us/op
Iteration   3: 0,857 us/op
Iteration   4: 0,864 us/op
Iteration   5: 0,858 us/op
Iteration   6: 0,864 us/op
Iteration   7: 0,857 us/op
Iteration   8: 0,863 us/op
Iteration   9: 0,856 us/op
Iteration  10: 0,861 us/op
Iteration  11: 0,863 us/op
Iteration  12: 0,858 us/op
Iteration  13: 0,866 us/op
Iteration  14: 0,858 us/op
Iteration  15: 0,862 us/op
Iteration  16: 0,858 us/op
Iteration  17: 0,863 us/op
Iteration  18: 0,860 us/op
Iteration  19: 0,865 us/op
Iteration  20: 0,905 us/op
Iteration  21: 0,862 us/op
Iteration  22: 0,858 us/op
Iteration  23: 0,867 us/op
Iteration  24: 0,926 us/op
Iteration  25: 0,890 us/op
Iteration  26: 0,864 us/op
Iteration  27: 0,859 us/op
Iteration  28: 0,863 us/op
Iteration  29: 0,858 us/op
Iteration  30: 0,862 us/op
Iteration  31: 0,862 us/op
Iteration  32: 0,865 us/op
Iteration  33: 0,859 us/op
Iteration  34: 0,862 us/op
Iteration  35: 0,859 us/op
Iteration  36: 0,863 us/op
Iteration  37: 0,857 us/op
Iteration  38: 0,863 us/op
Iteration  39: 0,856 us/op
Iteration  40: 0,864 us/op

# Run progress: 10,00% complete, ETA 00:08:26
# Fork: 2 of 2
# Warmup Iteration   1: 1,182 us/op
# Warmup Iteration   2: 0,949 us/op
# Warmup Iteration   3: 0,936 us/op
