# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PasswordUtilityBenchmark.testHashPassword
# Parameters: (passwordToTest = 123456)

# Run progress: 0,00% complete, ETA 00:03:40
# Fork: 1 of 2
# Warmup Iteration   1: 608,955 ns/op
# Warmup Iteration   2: 448,251 ns/op
# Warmup Iteration   3: 434,200 ns/op
# Warmup Iteration   4: 468,404 ns/op
# Warmup Iteration   5: 570,765 ns/op
# Warmup Iteration   6: 576,459 ns/op
# Warmup Iteration   7: 558,456 ns/op
# Warmup Iteration   8: 594,918 ns/op
# Warmup Iteration   9: 575,575 ns/op
# Warmup Iteration  10: 577,871 ns/op
# Warmup Iteration  11: 494,924 ns/op
# Warmup Iteration  12: 427,265 ns/op
# Warmup Iteration  13: 427,462 ns/op
# Warmup Iteration  14: 424,240 ns/op
# Warmup Iteration  15: 427,807 ns/op
Iteration   1: 427,743 ns/op
Iteration   2: 430,726 ns/op
Iteration   3: 425,305 ns/op
Iteration   4: 426,277 ns/op
Iteration   5: 455,900 ns/op
Iteration   6: 426,973 ns/op
Iteration   7: 425,725 ns/op
Iteration   8: 426,766 ns/op
Iteration   9: 425,969 ns/op
Iteration  10: 425,153 ns/op
Iteration  11: 426,107 ns/op
Iteration  12: 429,000 ns/op
Iteration  13: 450,911 ns/op
Iteration  14: 445,379 ns/op
Iteration  15: 427,531 ns/op
Iteration  16: 425,931 ns/op
Iteration  17: 425,027 ns/op
Iteration  18: 426,364 ns/op
Iteration  19: 425,407 ns/op
Iteration  20: 425,138 ns/op
Iteration  21: 425,406 ns/op
Iteration  22: 429,636 ns/op
Iteration  23: 425,284 ns/op
Iteration  24: 427,007 ns/op
Iteration  25: 427,834 ns/op
Iteration  26: 424,185 ns/op
Iteration  27: 426,029 ns/op
Iteration  28: 425,308 ns/op
Iteration  29: 425,992 ns/op
Iteration  30: 426,010 ns/op
Iteration  31: 425,044 ns/op
Iteration  32: 429,771 ns/op
Iteration  33: 426,033 ns/op
Iteration  34: 424,887 ns/op
Iteration  35: 423,642 ns/op
Iteration  36: 427,413 ns/op
Iteration  37: 425,999 ns/op
Iteration  38: 424,704 ns/op
Iteration  39: 424,542 ns/op
Iteration  40: 425,063 ns/op

# Run progress: 25,00% complete, ETA 00:02:49
# Fork: 2 of 2
# Warmup Iteration   1: 555,841 ns/op
# Warmup Iteration   2: 427,203 ns/op
# Warmup Iteration   3: 424,462 ns/op
# Warmup Iteration   4: 426,825 ns/op
# Warmup Iteration   5: 426,329 ns/op
# Warmup Iteration   6: 424,928 ns/op
# Warmup Iteration   7: 425,622 ns/op
# Warmup Iteration   8: 423,176 ns/op
# Warmup Iteration   9: 425,621 ns/op
# Warmup Iteration  10: 424,802 ns/op
# Warmup Iteration  11: 425,282 ns/op
# Warmup Iteration  12: 425,035 ns/op
# Warmup Iteration  13: 424,023 ns/op
# Warmup Iteration  14: 423,698 ns/op
# Warmup Iteration  15: 423,850 ns/op
Iteration   1: 425,181 ns/op
Iteration   2: 423,915 ns/op
Iteration   3: 424,933 ns/op
Iteration   4: 424,067 ns/op
Iteration   5: 424,554 ns/op
Iteration   6: 424,728 ns/op
Iteration   7: 429,049 ns/op
Iteration   8: 425,286 ns/op
Iteration   9: 423,710 ns/op
Iteration  10: 424,451 ns/op
Iteration  11: 424,601 ns/op
Iteration  12: 424,710 ns/op
Iteration  13: 424,202 ns/op
Iteration  14: 424,768 ns/op
Iteration  15: 425,427 ns/op
Iteration  16: 424,539 ns/op
Iteration  17: 429,333 ns/op
Iteration  18: 424,558 ns/op
Iteration  19: 426,276 ns/op
Iteration  20: 423,923 ns/op
Iteration  21: 424,098 ns/op
