# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.ProfileServiceBenchmark.testGetUsersMap

# Run progress: 0,00% complete, ETA 00:05:30
# Fork: 1 of 2
# Warmup Iteration   1: 11,260 us/op
# Warmup Iteration   2: 10,235 us/op
# Warmup Iteration   3: 9,938 us/op
# Warmup Iteration   4: 11,001 us/op
# Warmup Iteration   5: 10,053 us/op
# Warmup Iteration   6: 9,892 us/op
# Warmup Iteration   7: 10,089 us/op
# Warmup Iteration   8: 9,938 us/op
# Warmup Iteration   9: 10,511 us/op
# Warmup Iteration  10: 11,688 us/op
# Warmup Iteration  11: 10,275 us/op
# Warmup Iteration  12: 10,085 us/op
# Warmup Iteration  13: 9,886 us/op
# Warmup Iteration  14: 10,361 us/op
# Warmup Iteration  15: 10,236 us/op
Iteration   1: 10,640 us/op
Iteration   2: 10,406 us/op
Iteration   3: 9,931 us/op
Iteration   4: 10,057 us/op
Iteration   5: 10,293 us/op
Iteration   6: 10,153 us/op
Iteration   7: 10,135 us/op
Iteration   8: 10,048 us/op
Iteration   9: 9,927 us/op
Iteration  10: 10,990 us/op
Iteration  11: 10,472 us/op
Iteration  12: 9,981 us/op
Iteration  13: 10,008 us/op
Iteration  14: 9,988 us/op
Iteration  15: 10,036 us/op
Iteration  16: 10,035 us/op
Iteration  17: 10,473 us/op
Iteration  18: 11,299 us/op
Iteration  19: 10,480 us/op
Iteration  20: 9,937 us/op
Iteration  21: 10,022 us/op
Iteration  22: 10,105 us/op
Iteration  23: 10,025 us/op
Iteration  24: 10,078 us/op
Iteration  25: 9,901 us/op
Iteration  26: 10,164 us/op
Iteration  27: 9,896 us/op
Iteration  28: 9,788 us/op
Iteration  29: 10,156 us/op
Iteration  30: 9,974 us/op
Iteration  31: 9,946 us/op
Iteration  32: 9,914 us/op
Iteration  33: 9,894 us/op
Iteration  34: 9,837 us/op
Iteration  35: 10,103 us/op
Iteration  36: 10,183 us/op
Iteration  37: 10,166 us/op
Iteration  38: 9,890 us/op
Iteration  39: 10,521 us/op
Iteration  40: 10,009 us/op

# Run progress: 16,67% complete, ETA 00:04:41
# Fork: 2 of 2
