Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767633469832,733.1899719238281,1980,1,0.7375,7055.850112915039,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,38.22534942626953,85.93087768554688,27.683914184570313,3.4623641967773438,90.97876739501953,29.83647918701172,28.102401733398438,8.182518005371094,48.874298095703125,11.260498046875,17.37079620361328,29.92375946044922,7879061504,18781786112,6804484096,12595044352
199,1767633469833,644.9269561767578,1980,1,0.7375,7055.8653564453125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,77.98880767822266,100,15.63165283203125,0,74.1981201171875,74.5921630859375,23.272125244140625,13.775711059570313,33.863975524902344,60.61943435668945,0,100,7879061504,18781786112,6804639744,12595044352
199,1767633470033,653.5113983154297,1980,1,0.7375,7057.355270385742,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,45.25345993041992,52.8377571105957,68.7817153930664,47.405426025390625,29.401634216308594,31.108238220214844,19.33733367919922,35.79560852050781,49.510623931884766,25.85149383544922,37.958011627197266,20.5223388671875,7879061504,18781786112,6824701952,12601282560
199,1767633470233,733.4519500732422,1980,1,0.7375,7059.148025512695,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.66690444946289,50.53138732910156,71.94914245605469,63.95332336425781,57.55258560180664,51.94511795043945,86.54591369628906,92.17713165283203,65.63545989990234,60.12029266357422,55.5944938659668,61.3111686706543,7879061504,18781786112,6838358016,12757966848
199,1767633470433,733.6302642822266,1980,1,0.7375,7060.863677978516,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,50.68296432495117,58.11923599243164,65.59989929199219,41.355735778808594,56.22412872314453,60.29765319824219,61.40478515625,73.69715881347656,61.77373123168945,39.87920379638672,42.711177825927734,36.44076156616211,7879061504,18781786112,6840569856,12766199808
199,1767633470634,654.7997589111328,1980,1,0.7375,7062.498443603516,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,67.44741821289063,70.03653717041016,65.05757904052734,38.520729064941406,52.12849426269531,36.51274871826172,48.38493347167969,28.471298217773438,58.15523147583008,42.66288757324219,52.589813232421875,40.412288665771484,7879061504,18781786112,6849388544,12762247168
199,1767633470834,734.0149688720703,1980,1,0.7375,7064.092788696289,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,54.879947662353516,41.70812225341797,71.74999237060547,43.524208068847656,77.05797576904297,73.3080062866211,40.09931564331055,20.675758361816406,59.24818420410156,52.8355712890625,60.523860931396484,36.97857666015625,7879061504,18781786112,6852878336,12766576640
200,1767633471034,633.3666534423828,1980,1,0.7375,7065.596542358398,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.68531799316406,35.2303466796875,48.2956428527832,32.97663879394531,58.12250900268555,55.43752670288086,18.42962646484375,17.955276489257813,57.21266555786133,60.506683349609375,46.61506271362305,35.427001953125,7879061504,18781786112,6854959104,12767801344
200,1767633471235,734.3311157226563,1980,1,0.7375,7067.024169921875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,62.655303955078125,57.74395751953125,46.744327545166016,30.770469665527344,51.98829650878906,41.08403778076172,17.196212768554688,19.81555938720703,48.968257904052734,42.38395309448242,45.855445861816406,25.567176818847656,7879061504,18781786112,6866628608,12770770944
200,1767633471435,734.4673156738281,1980,1,1.0625,7068.6961669921875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,71.1318588256836,56.344242095947266,63.810516357421875,50.74973678588867,46.83407974243164,45.44403839111328,35.53948211669922,24.921836853027344,71.59284210205078,58.04533386230469,83.31552124023438,72.33087921142578,7879061504,18781786112,6885277696,12776554496
199,1767633471636,655.6623382568359,1980,1,1.05625,7070.337844848633,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,71.69775390625,79.7137680053711,74.87657928466797,45.56364440917969,55.302913665771484,52.84626388549805,36.74335861206055,30.225730895996094,84.43212127685547,58.07323455810547,71.33010864257813,58.11041259765625,7879061504,18781786112,6865997824,12776624128
200,1767633471836,707.8844909667969,1980,1,1.0625,7072.028610229492,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,71.03353881835938,51.9400634765625,67.22886657714844,44.716617584228516,71.47791290283203,65.99455261230469,35.844810485839844,29.897132873535156,72.29061126708984,41.63039779663086,62.699092864990234,41.82160949707031,7879061504,18781786112,6800646144,12776648704
200,1767633472037,735.0732879638672,1980,1,0.7375,7073.694931030273,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,39.17688751220703,21.755203247070313,54.7967643737793,20.418930053710938,86.2509536743164,83.21843719482422,35.25544738769531,25.775711059570313,84.11660766601563,81.70512390136719,72.7229232788086,67.32138061523438,7879061504,18781786112,6786113536,12775370752
